ID,Amount,Distances,Relationships
1,2.69,"[0.0, 1.8592922687530518, 6.228065490722656, 6.253859996795654, 8.960776329040527, 8.98084831237793, 9.435476303100586, 9.726642608642578, 9.826118469238281, 10.781057357788086]","[1, 59, 90, 84, 72, 5, 77, 80, 9, 54]"
2,378.66,"[0.0, 44.43274688720703, 46.29477310180664, 47.794464111328125, 48.0581169128418, 49.448917388916016, 49.949119567871094, 50.641029357910156, 52.88514709472656, 52.891700744628906]","[2, 97, 96, 28, 38, 49, 42, 20, 52, 12]"
3,123.5,"[0.0, 26.433677673339844, 27.513914108276367, 29.700830459594727, 29.700830459594727, 29.70113754272461, 29.70113754272461, 30.647201538085938, 31.09246253967285, 32.41935729980469]","[3, 27, 17, 33, 32, 34, 35, 9, 20, 5]"
4,69.99,"[0.0, 16.049711227416992, 16.455970764160156, 18.725046157836914, 21.796545028686523, 22.413673400878906, 23.65869140625, 24.235977172851562, 24.503055572509766, 24.755523681640625]","[4, 42, 49, 97, 28, 16, 78, 95, 74, 50]"
5,3.67,"[0.0, 5.9076738357543945, 8.902435302734375, 8.98084831237793, 10.209877014160156, 13.374078750610352, 14.487552642822266, 14.519874572753906, 14.841751098632812, 15.303519248962402]","[5, 9, 17, 1, 59, 84, 76, 86, 93, 54]"
6,4.99,"[0.0, 9.481218338012695, 9.553611755371094, 11.979236602783203, 12.516702651977539, 13.957651138305664, 14.436491966247559, 14.578481674194336, 15.729267120361328, 16.438648223876953]","[6, 30, 81, 13, 91, 54, 58, 53, 70, 99]"
7,40.8,"[0.0, 83.95325469970703, 94.0439453125, 110.89349365234375, 112.58953857421875, 113.65495300292969, 116.90867614746094, 121.88140869140625, 122.86389923095703, 123.05987548828125]","[7, 66, 14, 67, 36, 78, 95, 98, 97, 54]"
8,93.2,"[0.0, 3.2734580039978027, 4.297268867492676, 5.473842620849609, 7.860841274261475, 8.935296058654785, 16.028860092163086, 23.11177635192871, 25.958248138427734, 27.63690185546875]","[8, 57, 79, 71, 63, 94, 11, 40, 24, 88]"
9,3.68,"[0.0, 5.9076738357543945, 6.103854179382324, 9.826118469238281, 14.100990295410156, 16.52028465270996, 16.662521362304688, 17.6796875, 17.753170013427734, 19.164775848388672]","[9, 5, 17, 1, 59, 54, 84, 80, 90, 99]"
10,7.8,"[0.0, 2.5511362552642822, 19.047657012939453, 23.06668472290039, 27.13577651977539, 31.388511657714844, 32.45793914794922, 32.92811584472656, 33.852943420410156, 34.006893157958984]","[10, 19, 12, 27, 61, 91, 29, 31, 53, 58]"
11,9.99,"[0.0, 14.965944290161133, 16.028860092163086, 19.618436813354492, 21.84787368774414, 22.521800994873047, 22.543922424316406, 26.37302017211914, 31.345245361328125, 32.99284362792969]","[11, 71, 8, 63, 57, 79, 88, 94, 78, 24]"
12,121.5,"[0.0, 13.452184677124023, 19.047657012939453, 22.158737182617188, 23.505184173583984, 24.011173248291016, 27.76119041442871, 28.396461486816406, 28.431720733642578, 30.17997169494629]","[12, 19, 10, 27, 84, 72, 80, 45, 99, 92]"
13,27.5,"[0.0, 7.668976783752441, 9.632429122924805, 9.808462142944336, 10.538610458374023, 11.795753479003906, 11.944029808044434, 11.979236602783203, 12.515239715576172, 13.214057922363281]","[13, 92, 30, 16, 45, 70, 58, 6, 53, 39]"
14,58.8,"[0.0, 51.035133361816406, 51.65361404418945, 57.335941314697266, 58.01075744628906, 58.2493782043457, 58.46010971069336, 59.581478118896484, 59.713417053222656, 60.27600860595703]","[14, 98, 67, 78, 23, 25, 97, 4, 47, 29]"
